,ENDO,GBM,BRCA,HNSCC,LUAD,OVARIAN,CCRCC
67,ATP1A4,AC010422.3,ASH1L,AC004923.3,AMPH,CDH26,ANKRD7
68,ATP1B1,AC010422.5,ASPH,AC004923.4,AMZ1,CHD4,ANLN
69,ATP2B4,AC010422.6,ASPM,AC004965.1,ANGEL2,CHRAC1,ANXA6
70,ATP6V1C1,AC010422.8,ASTN1,AC004967.1,ANGPT1,CHRD,AOAH
71,ATP8B2,AC010463.1,ATAD2,AC004967.2,ANGPTL1,CHST2,AOC1
72,AURKAP1,AC010487.3,ATF3,AC004969.1,ANKH,CHTOP,AP1S1
73,AVPR1B,AC010522.1,ATF6,AC005020.1,ANKMY2,CLCN2,AP3B1
74,AXDND1,AC010615.4,ATP1A2,AC005020.2,ANKRD33B,CLDN1,AP3S1
75,AZIN1,AC010616.1,ATP1A4,AC005021.1,ANKRD34A,CLDN11,AP4M1
76,AZIN1-AS1,AC010616.2,ATP1B1,AC005046.1,ANKRD35,CLDN16,AP5Z1
77,B3GALNT2,AC010619.1,ATP2B4,AC005050.1,ANKRD45,CLRN1,APBB3
78,B3GALT2,AC010646.1,ATP5E,AC005050.2,ANKRD46,COL14A1,APC
79,B4GALT3,AC011005.1,ATP6V0D2,AC005050.3,ANKRD61,COL22A1,AQP1
80,BAALC,AC011448.1,ATP6V1C1,AC005064.1,ANLN,COL9A3,ARAP3
81,BAALC-AS1,AC011452.1,ATP6V1G3,AC005066.1,ANP32E,COLEC10,ARF5
82,BAALC-AS2,AC011455.2,ATP6V1H,AC005070.1,ANXA13,COMMD2,ARHGAP26
83,BATF3,AC011462.1,ATP8B2,AC005070.2,ANXA2R,COMMD5,ARHGEF28
84,BCAN,AC011473.4,AVPR1B,AC005070.3,ANXA9,COPS7A,ARHGEF35
85,BCL9,AC011479.1,AXDND1,AC005071.1,AOAH,COX6C,ARHGEF37
86,BCORP1,AC011498.4,AZIN1,AC005072.1,AP4S1,CPA3,ARHGEF5
87,BECN2,AC011499.1,B3GALNT2,AC005076.1,AP5M1,CPB1,ARL10
88,BGLAP,AC011511.1,B3GALT2,AC005086.1,AP5Z1,CPQ,ARL14EPL
89,BIRC7,AC011511.4,B4GALNT3,AC005086.2,APCDD1L,CPSF1,ARL15
90,BLACAT1,AC011530.1,B4GALT3,AC005086.3,APCS,CRYGS,ARL4A
91,BLZF1,AC012309.1,BAALC,AC005086.4,APH1A,CSMD3,ARMC10
92,BNIPL,AC013470.2,BAI1,AC005088.1,APLN,CTCFL,ARPC1A
93,BOLA1,AC018755.2,BATF3,AC005096.1,APOA2,CTHRC1,ARPC1B
94,BPNT1,AC019117.2,BCAN,AC005099.1,APOBEC4,CTSZ,ARRDC3
95,BPY2,AC020907.6,BCL9,AC005156.1,AQP1,CYHR1,ARSB
