,gene
1684,SRP9
1685,SSR2
1686,STX6
1687,SUCO
1688,SUSD4
1689,SV2A
1690,SWT1
1691,SYT11
1692,SYT14
1693,SYT2
1694,TADA1
1695,TAF1A
1696,TAF5L
1697,TAGLN2
1698,TARBP1
1699,TARS2
1700,TATDN3
1701,TBCE
1702,TBX19
1703,TCHH
1704,TCHHL1
1705,TDRD10
1706,TDRD5
1707,TDRKH
1708,TEDDM1
1709,TEX35
1710,TFB2M
1711,TGFB2
1712,THBS3
1713,THEM4
1714,THEM5
1715,TIMM17A
1716,TIPRL
1717,TLR5
1718,TMCC2
1719,TMCO1
1720,TMEM183A
1721,TMEM206
1722,TMEM63A
1723,TMEM79
1724,TMEM81
1725,TMEM9
1726,TMOD4
1727,TNFAIP8L2
1728,TNFSF18
1729,TNFSF4
1730,TNN
1731,TNNI1
1732,TNNT2
1733,TNR
1734,TOMM20
1735,TOMM40L
1736,TOR1AIP1
1737,TOR1AIP2
1738,TOR3A
1739,TP53BP2
1740,TPM3
1741,TPR
1742,TRAF3IP3
1743,TRAF5
1744,TRIM11
1745,TRIM17
1746,TRIM46
1747,TRIM58
1748,TRIM67
1749,TRMT1L
1750,TROVE2
1751,TSACC
1752,TSEN15
1753,TSNAX
1754,TSTD1
1755,TTC13
1756,TTC24
1757,TUFT1
1758,TXNIP
1759,UAP1
1760,UBAP2L
1761,UBE2Q1
1762,UBE2T
1763,UBQLN4
1764,UCHL5
1765,UCK2
1766,UFC1
1767,UHMK1
1768,URB2
1769,USF1
1770,USH2A
1771,USP21
1772,VAMP4
1773,VANGL2
1774,VASH2
1775,VHLL
1776,VPS45
1777,VPS72
1778,VSIG8
1779,WDR26
1780,WDR64
1781,WISP1
1782,WNT3A
1783,WNT9A
1784,XCL1
1785,XCL2
1786,XPR1
1787,YOD1
1788,YY1AP1
1789,ZBED6
1790,ZBTB18
1791,ZBTB37
1792,ZBTB41
1793,ZBTB7B
1794,ZC3H11A
1795,ZNF124
1796,ZNF281
1797,ZNF496
1798,ZNF648
1799,ZNF669
1800,ZNF670
1801,ZNF672
1802,ZNF678
1803,ZNF687
1804,ZNF692
1805,ZNF695
1806,ZP4
1807,SNORA25
1808,SNORA26
1809,SNORD112
1810,U3
1811,snoU13
