,gene
404,RTEL1
405,SAMD10
406,SAMD9
407,SAMD9L
408,SAP25
409,SCIN
410,SCRN1
411,SDHAF3
412,SDK1
413,SEC61G
414,SEM1
415,SEMA3A
416,SEMA3E
417,SEPT14
418,SEPT7
419,SERPINE1
420,SFRP4
421,SGCE
422,SH2B2
423,SKAP2
424,SLC12A9
425,SLC25A13
426,SLC25A40
427,SLC26A5
428,SLC29A4
429,SLC2A4RG
430,SMURF1
431,SNX10
432,SNX13
433,SNX8
434,SOSTDC1
435,SOX18
436,SP4
437,SP8
438,SPDYE1
439,SPDYE2
440,SPDYE2B
441,SPDYE3
442,SPDYE6
443,SPO11
444,SRI
445,SRMS
446,SRPK2
447,SRRT
448,SS18L1
449,STAG3
450,STARD3NL
451,STEAP1
452,STEAP1B
453,STEAP2
454,STEAP4
455,STK17A
456,STK31
457,STMN3
458,STX16
459,SUGCT
460,SUMF2
461,SUN1
462,SUN3
463,SYCP2
464,SYPL1
465,TAC1
466,TAF6
467,TAX1BP1
468,TBRG4
469,TBX20
470,TCEA2
471,TCFL5
472,TECPR1
473,TFPI2
474,TFR2
475,THSD7A
476,TMED4
477,TMEM106B
478,TMEM130
479,TMEM184A
480,TMEM196
481,TNFRSF6B
482,TNRC18
483,TNS3
484,TOMM7
485,TPD52L2
486,TRA2A
487,TRIL
488,TRIM4
489,TRIM56
490,TRIP6
491,TRRAP
492,TSC22D4
493,TSPAN13
494,TTYH3
495,TUBB1
496,TWIST1
497,TWISTNB
498,UBE2D4
499,UCKL1
500,UFSP1
501,UMAD1
502,UNCX
503,UPP1
504,URGCP
505,USP42
506,VAPB
507,VGF
508,VOPP1
509,VPS41
510,VPS50
511,VSTM2A
512,VWC2
513,VWDE
514,WIPF3
515,WIPI2
516,YKT6
517,YTHDF1
518,ZAN
519,ZBP1
520,ZBTB46
521,ZCWPW1
522,ZDHHC4
523,ZFAND2A
524,ZGPAT
525,ZKSCAN1
526,ZKSCAN5
527,ZMIZ2
528,ZNF12
529,ZNF217
530,ZNF3
531,ZNF316
532,ZNF394
533,ZNF479
534,ZNF512B
535,ZNF655
536,ZNF713
537,ZNF716
538,ZNF789
539,ZNF804B
540,ZNF831
541,ZNF853
542,ZNHIT1
543,ZNRF2
544,ZPBP
545,ZSCAN21
546,ZSCAN25
547,AARD
548,ABRA
549,ADCK5
550,ADCY8
551,ADHFE1
552,AGO2
553,ANGPT1
554,ANKRD46
555,ANXA13
556,ARC
557,ARFGEF1
558,ARHGAP39
559,ARMC1
560,ASAP1
561,ASPH
562,ATAD2
563,ATP6V0D2
564,ATP6V1C1
565,AZIN1
566,BAALC
567,BHLHE22
568,BOP1
569,C8orf31
570,C8orf33
571,C8orf34
572,C8orf37
573,C8orf76
574,C8orf82
575,C8orf87
576,C8orf89
577,CA1
578,CA13
579,CA2
580,CA3
581,CA8
582,CALB1
583,CASC8
584,CASC9
585,CCDC166
586,CCDC26
587,CCNE2
588,CDH17
589,CHD7
590,CHMP4C
591,CHRAC1
592,CNBD1
593,CNGB3
594,COL14A1
595,COL22A1
596,COLEC10
597,COMMD5
598,COPS5
599,COX6C
600,CPA6
601,CPNE3
602,CPQ
603,CPSF1
604,CRH
605,CRISPLD1
606,CSMD3
607,CSPP1
608,CTHRC1
609,CYC1
610,CYHR1
611,CYP11B1
612,CYP11B2
613,CYP7B1
614,DCAF13
615,DCAF4L2
616,DCSTAMP
617,DECR1
618,DENND3
619,DEPTOR
620,DERL1
621,DGAT1
622,DNAJC5B
623,DPY19L4
624,DPYS
625,DSCC1
626,E2F5
627,EBAG9
628,ECT2
629,EEF1D
630,EFR3A
631,EIF3E
632,EIF3H
633,ELOC
634,EMC2
635,ENPP2
636,ENY2
637,EPPK1
638,ERICH5
639,ESRP1
640,EXOSC4
641,EXT1
642,EYA1
643,FABP12
644,FABP4
645,FABP5
646,FABP9
647,FAM135B
648,FAM49B
649,FAM83A
650,FAM83H
651,FAM91A1
652,FAM92A
653,FBXL6
654,FBXO32
655,FBXO43
656,FER1L6
657,FOXH1
658,FSBP
659,FZD6
660,GDAP1
661,GDF6
662,GEM
663,GGH
664,GHSR
665,GLI4
666,GML
667,GPAA1
668,GPIHBP1
669,GPR20
670,GPT
671,GRHL2
672,GRINA
673,GSDMC
674,GSDMD
675,HAS2
676,HEY1
677,HHLA1
678,HNF4G
679,HPYR1
680,HSF1
681,IL7
682,IMPA1
683,INTS8
684,JPH1
685,JRK
686,KCNB2
687,KCNK9
688,KCNQ3
689,KCNS2
690,KCNV1
691,KHDRBS3
692,KIFC2
693,KLF10
694,KLHL38
695,LACTB2
696,LAPTM4B
697,LINC00535
698,LINC00536
699,LINC00861
700,LINC00964
701,LRP12
702,LRRC14
703,LRRC24
704,LRRC6
705,LRRC69
706,LRRCC1
707,LY6D
708,LY6E
709,LY6H
710,LY6K
711,LY96
712,LYNX1
713,LYPD2
714,MAF1
715,MAFA
716,MAL2
717,MAPK15
718,MATN2
719,MCMDC2
720,MED30
721,MFSD3
722,MIR1205
723,MIR1207
724,MIR1208
725,MIR2053
726,MIR30B
727,MIR30D
728,MIR3150B
729,MIR3151
730,MIR3610
731,MIR3686
732,MIR4471
733,MIR4662B
734,MIR4663
735,MIR5194
736,MIR548A3
737,MIR548AA1
738,MIR5680
739,MIR5681A
740,MIR5708
741,MIR599
742,MIR875
743,MMP16
744,MROH1
745,MROH6
746,MRPL13
747,MRPS28
748,MSC
749,MTBP
750,MTDH
751,MTERF3
752,MTFR1
753,MTSS1
754,MYBL1
755,MYC
756,NBN
757,NCALD
758,NCEH1
759,NCOA2
760,NDRG1
